id,1990,1995,2000,2005,2010,2015
AFG,6673795.0,3568631.0,4478794.0,3764868.0,4929489.0,4478310.0
AGO,786808.0,640933.0,837901.0,637589.0,568118.0,483937.0
ALB,120744.0,435989.0,754395.0,906945.0,1063255.0,1071554.0
ARE,-1204611.0,-1679189.0,-2261386.0,-3074160.0,-6963290.0,-7845126.0
ARG,-1134854.0,-1034581.0,-907885.0,-810752.0,-835311.0,-1102490.0
ARM,335010.0,245931.0,244889.0,450208.0,715326.0,767523.0
AUS,-3472473.0,-3592509.0,-3755739.0,-4179199.0,-5091143.0,-5873142.0
AUT,-288725.0,-407824.0,-524674.0,-628608.0,-726276.0,-919043.0
AZE,1277042.0,1371898.0,1303055.0,1147312.0,904382.0,885018.0
BDI,63708.0,329791.0,626476.0,459847.0,65171.0,20172.0
BEL,-510779.0,-493863.0,-437655.0,-414272.0,-546945.0,-839653.0
BEN,169766.0,184243.0,207070.0,255300.0,336994.0,407759.0
BFA,691989.0,807142.0,748195.0,755221.0,759826.0,795036.0
BGD,4788941.0,4693632.0,4635184.0,4747067.0,5497663.0,5870955.0
BGR,598036.0,621999.0,647862.0,854054.0,1060965.0,1074658.0
BHS,1345.0,-1125.0,-2417.0,-10318.0,-17567.0,-16493.0
BIH,810656.0,1305008.0,1385939.0,1457973.0,1565245.0,1616319.0
BLR,520244.0,564134.0,573934.0,486794.0,388453.0,402696.0
BLZ,6727.0,8297.0,11497.0,10136.0,9859.0,7370.0
BOL,152179.0,199544.0,251901.0,437313.0,659515.0,660474.0
BRA,-275878.0,26583.0,298591.0,578141.0,925923.0,820381.0
BRN,-44196.0,-46656.0,-48610.0,-50895.0,-52155.0,-53414.0
BTN,6392.0,92054.0,90399.0,80683.0,41515.0,-2981.0
BWA,545.0,-11419.0,-21212.0,-45080.0,-60119.0,-80617.0
CAF,-10979.0,-26719.0,-32483.0,64054.0,167112.0,378168.0
CAN,-3031656.0,-3522983.0,-4082665.0,-4627557.0,-5497947.0,-6221590.0
CHE,-836958.0,-975258.0,-1099584.0,-1192818.0,-1322868.0,-1631037.0
CHL,382742.0,351445.0,329944.0,264752.0,195109.0,143624.0
CHN,1956126.0,2402830.0,3014273.0,4156254.0,5244730.0,5973613.0
CIV,-1423827.0,-1586069.0,-1405514.0,-1254424.0,-1235825.0,-1245185.0
CMR,-97164.0,-61766.0,-21758.0,-30608.0,-1072.0,-50771.0
COD,-147635.0,-1049621.0,332528.0,643918.0,733627.0,906395.0
COG,-30177.0,-74353.0,-170076.0,-145811.0,-215304.0,-161202.0
COL,903553.0,1090871.0,1303761.0,1747424.0,2354725.0,2491286.0
CRI,-137947.0,-118731.0,-193957.0,-79942.0,-259483.0,-270772.0
CUB,805157.0,884231.0,1009624.0,1115446.0,1243641.0,1411898.0
CYP,130960.0,101513.0,73938.0,37558.0,-24850.0,-17137.0
CZE,167142.0,165334.0,178377.0,310957.0,480553.0,527499.0
DEU,-2327098.0,-3871345.0,-5326455.0,-6563598.0,-7770337.0,-7946980.0
DJI,-109629.0,-86867.0,-85452.0,-74373.0,-81841.0,-89703.0
DNK,-28796.0,-88025.0,-144069.0,-204475.0,-262263.0,-311204.0
DOM,160423.0,318644.0,507512.0,609199.0,738344.0,872843.0
DZA,814431.0,880124.0,947771.0,1482017.0,1493948.0,1626132.0
ECU,135346.0,218163.0,316287.0,825797.0,857804.0,785868.0
EGY,1135598.0,1307536.0,1515962.0,1594518.0,2252820.0,2709371.0
ERI,160293.0,314363.0,499445.0,277608.0,263937.0,
ESP,605518.0,330509.0,-369903.0,-2992959.0,-5184043.0,-4608591.0
EST,-267440.0,-185848.0,-106874.0,-81643.0,-54408.0,-4220.0
ETH,945441.0,288407.0,23102.0,166768.0,225509.0,267580.0
FIN,189613.0,190534.0,181208.0,113359.0,46364.0,-19363.0
FJI,79896.0,95510.0,121019.0,145567.0,171260.0,193526.0
FRA,-4766277.0,-4860750.0,-4886701.0,-5151892.0,-5351104.0,-5753115.0
GAB,-107426.0,-130320.0,-169938.0,-164428.0,-176088.0,-194165.0
GBR,325945.0,-268576.0,-693030.0,-1604047.0,-2809172.0,-3327076.0
GEO,590009.0,681947.0,754185.0,691596.0,631920.0,673242.0
GHA,220826.0,187215.0,288908.0,272124.0,434818.0,494518.0
GIN,-50103.0,-408057.0,-208538.0,143679.0,200904.0,202981.0
GMB,-78541.0,-108521.0,-137280.0,-117804.0,-98195.0,-97321.0
GNB,39887.0,39228.0,57398.0,62232.0,71665.0,74716.0
GNQ,32831.0,38898.0,52024.0,63047.0,72221.0,73630.0
GRC,425497.0,155337.0,-125846.0,-295322.0,-447610.0,-369574.0
GRL,298.0,4365.0,6870.0,8323.0,10356.0,11952.0
GTM,79465.0,289580.0,518251.0,661098.0,818575.0,941275.0
GUY,220341.0,271892.0,333881.0,356654.0,388244.0,421021.0
HND,-114414.0,90278.0,306037.0,409353.0,535332.0,618987.0
HRV,55931.0,142009.0,394488.0,336053.0,300167.0,307972.0
HTI,478234.0,598779.0,734077.0,886974.0,1010971.0,1104876.0
HUN,50344.0,87067.0,127190.0,116188.0,124346.0,155807.0
IDN,1147776.0,1490072.0,1902063.0,2238692.0,2949381.0,3286729.0
IND,-720749.0,265180.0,1501188.0,3532126.0,7520932.0,9927641.0
IRL,685965.0,628801.0,464640.0,177814.0,44782.0,134272.0
IRN,-3660614.0,-2137107.0,-1813838.0,-1397890.0,-1498237.0,-1361050.0
IRQ,1443309.0,1150725.0,973659.0,1367430.0,2470105.0,1152954.0
ISL,8049.0,8712.0,10337.0,3462.0,-1357.0,1156.0
ISR,-1210721.0,-1268222.0,-1232524.0,-1124445.0,-1032684.0,-1063541.0
ITA,1996296.0,1482235.0,990499.0,-1173005.0,-3107468.0,-2864845.0
JAM,565206.0,675139.0,808438.0,850876.0,919765.0,1026600.0
JOR,-833674.0,-1200540.0,-1561886.0,-1892781.0,-2128644.0,-2423023.0
JPN,-468685.0,-725499.0,-960405.0,-1244624.0,-1329296.0,-1178347.0
KAZ,-646767.0,64283.0,695299.0,690820.0,645300.0,528960.0
KEN,51047.0,-191796.0,-239588.0,-290857.0,-419847.0,-484038.0
KGZ,-86105.0,53689.0,187479.0,353936.0,516650.0,560866.0
KHM,322037.0,320195.0,315133.0,559325.0,864851.0,1116357.0
KOR,1575092.0,1649768.0,1687643.0,1542207.0,1379350.0,1052766.0
KWT,-968169.0,-798922.0,-975250.0,-1144020.0,-1595676.0,-2561496.0
LAO,459100.0,515082.0,624560.0,871863.0,1169598.0,1326306.0
LBN,-13765.0,-77402.0,-133852.0,-140025.0,-109191.0,-1203449.0
LBR,442120.0,358145.0,127019.0,283329.0,166725.0,168464.0
LBY,-373991.0,-424875.0,-483531.0,-518952.0,-547004.0,-620644.0
LKA,829132.0,868707.0,924173.0,1081564.0,1375097.0,1570245.0
LSO,187524.0,133805.0,116798.0,140353.0,221768.0,359831.0
LTU,5134.0,84380.0,146944.0,221771.0,332602.0,408356.0
LUX,-84300.0,-94598.0,-105668.0,-102489.0,-103968.0,-185853.0
LVA,-430832.0,-309157.0,-191337.0,-103660.0,-2732.0,74475.0
MAR,1541588.0,1694056.0,1903034.0,2337301.0,2718311.0,2760008.0
MDA,98680.0,263913.0,362796.0,550527.0,680331.0,750139.0
MDG,33984.0,37784.0,40349.0,106714.0,113081.0,122444.0
MEX,3700908.0,6266744.0,8793094.0,9805228.0,10861435.0,11150144.0
MKD,335488.0,382203.0,405874.0,334373.0,351225.0,386700.0
MLI,504622.0,631383.0,584381.0,561926.0,618268.0,761842.0
MMR,465241.0,711188.0,1036406.0,1642727.0,2369823.0,2817937.0
MNE,78600.0,145832.0,181018.0,150017.0,53381.0,56785.0
MNG,18112.0,20840.0,23167.0,31497.0,42945.0,42250.0
MOZ,2161896.0,722249.0,528753.0,505214.0,534453.0,568896.0
MRT,23620.0,62996.0,49761.0,42649.0,55973.0,12793.0
MWI,-975457.0,-49973.0,2808.0,51211.0,100839.0,133429.0
MYS,-220841.0,-391773.0,-648841.0,-982026.0,-1508123.0,-1543386.0
NAM,-100340.0,-83073.0,-81996.0,-43936.0,-6309.0,54647.0
NCL,-25520.0,-29672.0,-33920.0,-39894.0,-45650.0,-47646.0
NER,27402.0,29647.0,81201.0,143127.0,193083.0,199146.0
NGA,148470.0,155553.0,158065.0,198203.0,152378.0,10209.0
NIC,401701.0,405756.0,466704.0,396178.0,562298.0,600266.0
NLD,-395352.0,-542988.0,-720018.0,-830505.0,-837640.0,-901553.0
NOR,-46454.0,-71212.0,-112123.0,-173739.0,-331312.0,-519502.0
NPL,330351.0,196630.0,281985.0,470532.0,809737.0,1118795.0
NZL,-31524.0,-54891.0,-63243.0,-156039.0,-148057.0,-97093.0
OMN,-286712.0,-506826.0,-580360.0,-619739.0,-761923.0,-1730417.0
PAK,-2900801.0,-384266.0,-864421.0,596825.0,888650.0,2097003.0
PAN,72602.0,60112.0,52234.0,12258.0,-21677.0,-40986.0
PER,249195.0,444545.0,624849.0,899624.0,1228471.0,1318420.0
PHL,1770481.0,2161245.0,2635840.0,3273593.0,4271570.0,4918024.0
PNG,-27965.0,-27627.0,-19332.0,-24304.0,-19988.0,-20004.0
POL,459662.0,868535.0,1273781.0,2307513.0,3500483.0,3837175.0
PRI,886219.0,1030372.0,1214852.0,1253097.0,1353461.0,1501766.0
PRK,8097.0,23348.0,39961.0,51413.0,63884.0,66622.0
PRT,1650826.0,1600204.0,1571312.0,1215219.0,1376825.0,1518583.0
PRY,108491.0,154464.0,202155.0,380562.0,607840.0,692709.0
PSE,1554091.0,2021093.0,2418831.0,2580298.0,2897702.0,3322299.0
QAT,-292407.0,-339731.0,-334239.0,-605637.0,-1381223.0,-1625011.0
