id,Country Name,1990,1995,2000,2005,2010,2015
AFG,Afghanistan,-6339045.0,-2659528.0,-3587336.0,-2166117.0,-3048275.0,-2408751.0
AGO,Angola,-396203.0,-235773.0,-421674.0,-201843.0,-119703.0,3686.0
ALB,Albania,-1822.0,-1083.0,-6279.0,-12666.0,-14696.0,-10304.0
ARE,United Arab Emirates,0.0,407.0,547.0,74.0,114.0,564.0
ARG,Argentina,11401.0,9984.0,1787.0,2218.0,2719.0,3013.0
ARM,Armenia,-1.0,17508.0,274805.0,205585.0,-14251.0,8105.0
AUS,Australia,97915.0,62144.0,60243.0,64920.0,21768.0,36897.0
AUT,Austria,34938.0,34336.0,15457.0,21164.0,42620.0,72212.0
AZE,Azerbaijan,0.0,33162.0,-283990.0,-230671.0,-14862.0,-8432.0
BDI,Burundi,76781.0,-177565.0,-540948.0,-418025.0,-54699.0,-239401.0
BEL,Belgium,25911.0,31688.0,18813.0,15187.0,17809.0,35249.0
BEN,Benin,454.0,23789.0,4242.0,29883.0,6697.0,118.0
BFA,Burkina Faso,348.0,29714.0,566.0,-96.0,-614.0,31869.0
BGD,Bangladesh,-332.0,-5838.0,16226.0,13794.0,219204.0,219785.0
BGR,Bulgaria,-1922.0,-2836.0,-930.0,159.0,2971.0,15288.0
BHS,"Bahamas, The",0.0,8.0,99.0,-1.0,11.0,-207.0
BIH,Bosnia and Herzegovina,0.0,-769753.0,-466829.0,-99362.0,-55988.0,-11971.0
BLR,Belarus,0.0,28904.0,-2061.0,-8132.0,-5154.0,-2316.0
BLZ,Belize,30657.0,8742.0,1238.0,616.0,111.0,-16.0
BOL,Bolivia,-531.0,501.0,176.0,266.0,105.0,204.0
BRA,Brazil,5321.0,1997.0,2498.0,3088.0,3363.0,7812.0
BRN,Brunei Darussalam,0.0,-3.0,0.0,-49.0,-1.0,0.0
BTN,Bhutan,0.0,-104750.0,-108945.0,-106537.0,-75070.0,-17720.0
BWA,Botswana,1176.0,241.0,3548.0,3105.0,2933.0,1822.0
CAF,Central African Republic,4184.0,33614.0,55522.0,-18321.0,-143331.0,-463775.0
CAN,Canada,154761.0,152121.0,126965.0,147049.0,165459.0,135808.0
CHE,Switzerland,40943.0,82916.0,57583.0,48014.0,48794.0,73319.0
CHL,Chile,-14490.0,-13990.0,-496.0,-132.0,451.0,1288.0
CHN,China,285850.0,183616.0,183135.0,176940.0,116384.0,88140.0
CIV,Cote d'Ivoire,272279.0,297707.0,119918.0,23289.0,-15540.0,-69135.0
CMR,Cameroon,49776.0,43764.0,41618.0,42941.0,89312.0,332387.0
COD,"Congo, Dem. Rep.",349012.0,1344022.0,-39204.0,-226588.0,-310357.0,-158401.0
COG,"Congo, Rep.",2988.0,19227.0,95611.0,41637.0,112433.0,30174.0
