id,1990,1995,2000,2005,2010,2015
AFG,6775137.0,3680219.0,4600630.0,3898958.0,5075837.0,5206612.0
AGO,828964.0,691657.0,897181.0,717667.0,668982.0,624721.0
ALB,238150.0,562893.0,890799.0,1022085.0,1157133.0,1174024.0
ARE,1362137.0,1872329.0,2479354.0,3277016.0,7194976.0,8110098.0
ARG,1995076.0,1989661.0,2010727.0,2416098.0,2699679.0,2981412.0
ARM,1464334.0,1555503.0,1486187.0,1328846.0,1104808.0,1107011.0
AUS,4052241.0,4245801.0,4485281.0,4995601.0,6019197.0,6873726.0
AUT,1296099.0,1380084.0,1466342.0,1641602.0,1823146.0,2062509.0
AZE,1991198.0,2053828.0,1953155.0,1746772.0,1453204.0,1408520.0
BDI,610690.0,758025.0,850318.0,773727.0,496575.0,546110.0
BEL,1240159.0,1242545.0,1233923.0,1292852.0,1523433.0,1898729.0
BEN,297518.0,361519.0,433872.0,546156.0,691902.0,823945.0
BFA,1345747.0,1620182.0,1720153.0,1870661.0,2019016.0,2111720.0
BGD,6050747.0,6056494.0,6099086.0,6530989.0,7601593.0,8095691.0
BGR,636084.0,682561.0,730792.0,972644.0,1210217.0,1275960.0
BHS,46899.0,56871.0,68011.0,76712.0,86081.0,95807.0
BIH,919740.0,1441508.0,1549857.0,1551009.0,1640927.0,1684219.0
BLR,3017808.0,2936174.0,2820484.0,2700140.0,2568629.0,2567884.0
BLZ,65261.0,72833.0,82039.0,90300.0,99649.0,111686.0
BOL,297195.0,363912.0,433793.0,648057.0,898555.0,938736.0
BRA,1263284.0,1453185.0,1612569.0,1819595.0,2094071.0,2227061.0
BRN,96842.0,117276.0,138202.0,140079.0,142983.0,145888.0
BTN,50340.0,143690.0,149723.0,155037.0,130897.0,91361.0
BWA,51529.0,58027.0,73998.0,106846.0,149067.0,197309.0
CAF,103459.0,124893.0,143139.0,198330.0,299992.0,494174.0
CAN,4994684.0,5565573.0,6284205.0,6909119.0,7901559.0,8735490.0
CHE,1472984.0,1635466.0,1821752.0,2183556.0,2574436.0,2931029.0
CHL,596946.0,634855.0,682618.0,809884.0,932733.0,1080396.0
CHN,2523498.0,3060404.0,3762069.0,4981238.0,6146926.0,7011885.0
CIV,2165541.0,2490909.0,2487112.0,2644308.0,2800221.0,2945381.0
CMR,327786.0,333590.0,344000.0,452712.0,559346.0,707979.0
COD,951559.0,2107607.0,1329830.0,1516496.0,1581563.0,1732233.0
COG,212781.0,296809.0,428706.0,477529.0,607000.0,602204.0
COL,1109281.0,1302111.0,1520445.0,1960306.0,2600711.0,2754818.0
CRI,277219.0,285455.0,401331.0,312266.0,516981.0,536906.0
CUB,863971.0,928821.0,1039964.0,1145656.0,1271233.0,1436734.0
CYP,217726.0,224273.0,232546.0,269708.0,347376.0,371403.0
CZE,387848.0,496386.0,619783.0,955809.0,1275873.0,1337359.0
DEU,8873978.0,10386597.0,11988227.0,13693740.0,15429521.0,16023210.0
DJI,120191.0,100741.0,103530.0,98787.0,109157.0,121557.0
DNK,426556.0,498745.0,574157.0,651471.0,731425.0,804786.0
DOM,736943.0,959028.0,1211664.0,1348597.0,1507740.0,1684929.0
DZA,995867.0,1046726.0,1099521.0,1695827.0,1769800.0,1899088.0
ECU,292116.0,418475.0,560077.0,1130655.0,1410280.0,1417978.0
EGY,1462278.0,1621178.0,1841458.0,2117034.0,2816740.0,3655291.0
ERI,179905.0,334085.0,519281.0,299358.0,287603.0,
ESP,2232680.0,2345713.0,2902725.0,5192687.0,7344641.0,7062901.0
EST,495270.0,444506.0,391124.0,384729.0,381184.0,400300.0
ETH,2428823.0,1348163.0,860128.0,870798.0,1002755.0,1211198.0
FIN,311743.0,385970.0,449802.0,493705.0,538304.0,609303.0
FJI,97986.0,113158.0,138131.0,162077.0,188986.0,211782.0
FRA,6858431.0,7139904.0,7489923.0,8075950.0,8772694.0,9523293.0
GAB,137798.0,162794.0,204802.0,245860.0,291432.0,320093.0
GBR,7021087.0,7420506.0,8119608.0,9566529.0,11629028.0,12854876.0
GEO,1250849.0,1225989.0,1181397.0,1082286.0,988418.0,1003524.0
GHA,528256.0,670775.0,647276.0,846074.0,952610.0,1108264.0
GIN,754173.0,1137539.0,907916.0,596171.0,600670.0,648167.0
GMB,150825.0,184771.0,217116.0,235456.0,262549.0,276589.0
GNB,68629.0,92062.0,94120.0,100442.0,111443.0,116896.0
GNQ,36503.0,43764.0,58078.0,71879.0,83825.0,88136.0
GRC,1657019.0,1867295.0,2094682.0,2083384.0,2089314.0,2112374.0
GRL,18476.0,18263.0,19602.0,21001.0,21864.0,22848.0
GTM,607777.0,601802.0,614337.0,775426.0,951145.0,1093751.0
GUY,226455.0,281708.0,347385.0,374842.0,411104.0,447815.0
HND,426008.0,388740.0,362543.0,464695.0,589510.0,674717.0
HRV,799183.0,1269437.0,1354814.0,1369691.0,1407035.0,1421860.0
HTI,513684.0,640505.0,782061.0,943582.0,1076179.0,1178298.0
HUN,723502.0,714265.0,708294.0,833978.0,978750.0,1035597.0
IDN,1888986.0,2122262.0,2425251.0,2734390.0,3449395.0,3825101.0
