"Region, development group, country or area of origin",1990,1995,2000,2005,2010,2015,2020
   Burundi,337100,540558,758673,619916,284078,459979,551105
   Comoros,40079,51290,70502,96143,109125,121749,150823
   Djibouti,5308,6964,9055,11987,13797,16969,18365
   Eritrea,170603,375257,511506,299311,328366,624757,802822
   Ethiopia,1689941,816420,445886,524038,680290,842496,946129
   Kenya,250332,277647,317434,362031,442632,480647,535348
   Madagascar,59415,67324,77089,148805,160819,175868,193526
   Malawi,143436,150825,186229,222023,260531,297471,311052
   Mauritius*,110707,114073,119003,130649,148186,165869,182973
   Mayotte*,1835,3937,6214,6468,6342,6545,6767
   Mozambique,2222354,812685,644421,662951,797808,596949,640160
   Réunion*,3087,2623,2360,2556,2749,2907,3064
   Rwanda,547717,2060363,318198,289100,334244,503667,492489
   Seychelles,35633,27798,19244,23487,25932,27483,29258
   Somalia,848055,968956,1006128,1060953,1595328,2008490,2034221
   South Sudan,514943,438044,342628,228537,402616,1060678,2575870
   Uganda,311591,361969,517776,586602,731768,786229,781440
   United Republic of Tanzania*,203043,229151,215460,234918,262172,294102,327863
   Zambia,85201,140895,160201,181499,182766,184371,200700
   Zimbabwe,204363,287995,351985,500773,754643,1167064,1243314
   Angola,824886,688581,913206,716766,651383,618288,668066
   Cameroon,115835,138936,164296,221232,278898,348974,441015
   Central African Republic,46354,49205,55416,131410,245933,686224,816668
   Chad,336798,223096,206052,210661,202423,191269,222303
   Congo,96370,115677,135235,172610,178111,204829,223767
   Democratic Republic of the Congo,436513,559824,862039,1130872,1298544,1572222,1832069
   Equatorial Guinea,36175,46412,59930,71789,84390,116947,128774
   Gabon,15347,16610,18041,41357,36933,43075,48392
   Sao Tome and Principe,13965,19261,25145,29859,30928,35162,39608
   Algeria,921665,979641,1037985,1599647,1655264,1836502,2022337
   Egypt,1321915,1492004,1708296,1807941,2586643,3151069,3610461
   Libya,76239,77398,80014,100248,127399,152544,185518
   Morocco,1748116,1883924,2077010,2470656,2860702,2971770,3262222
   Sudan,584935,775375,885660,1277632,1235193,1842602,2104887
   Tunisia,465549,476933,486964,579009,615732,774376,902268
   Western Sahara,168238,167146,166060,131288,170195,185885,194932
   Botswana,26048,23315,26683,33281,44249,55294,63561
   Eswatini,35179,30340,34116,44861,69030,46236,50039
   Lesotho,191328,136593,120565,159071,243128,191457,202164
   Namibia,16077,28220,49348,65598,99599,50410,47770
   South Africa,308120,385988,501600,601803,743807,786554,914901
   Benin,234314,275696,328046,504165,541152,634923,681827
   Burkina Faso,1021331,1215665,1279414,1352292,1434528,1518568,1599347
   Cabo Verde,91363,106954,124823,141984,152863,171429,187558
   Côte d'Ivoire,366336,449498,539234,731962,939795,1056380,1149298
   Gambia,36280,38384,45427,61209,77440,96963,139210
   Ghana,371157,428051,495887,665731,762002,892253,1004324
   Guinea,352763,365862,377019,404677,455866,493411,550790
   Guinea-Bissau,55406,67149,77664,82846,91546,98151,111790
   Liberia,516878,542295,248412,354792,219139,205741,233564
   Mali,647426,820564,772866,895360,994832,1228544,1303511
   Mauritania,134478,151710,107607,103107,114192,114630,130226
   Niger,149777,177067,205236,304086,335897,374993,399707
   Nigeria,446753,524535,610130,817392,996914,1306526,1670455
   Saint Helena*,884,2207,3715,3268,3607,4285,4885
   Senegal,370243,359061,394608,470508,547495,594507,693765
   Sierra Leone,61853,457827,509098,151886,126730,139296,152486
   Togo,193827,309616,267164,405803,417178,495380,545409
   Kazakhstan,2971634,3295157,3554484,3717649,3797527,3885576,4203899
   Kyrgyzstan,522574,550022,566315,652852,726544,742841,774377
   Tajikistan,537699,555426,541183,586235,584647,585060,586851
   Turkmenistan,260005,243523,224398,231939,234635,238531,242554
   Uzbekistan,1427980,1515731,1575965,1730224,1888942,1976024,2027823
   China*,4231625,5030321,5884919,7337211,8714648,10240817,10461170
"   China, Hong Kong SAR*",549125,617237,685913,752476,862070,957289,1007788
"   China, Macao SAR*",86460,90097,94517,108191,123599,133296,145192
"   China, Taiwan Province of China*",0,0,0,0,0,0,0
